WUA,student,session,treatment,player,age,age_cat,education_level,education_level_cat,woman,risk_av,risk_av_cat,beliefs_pre,beliefs_inter,beliefs_post,cause_autority,cause_injustice,cause_file,cause_necesity,cause_other_people,beliefs_pre_cat,beliefs_inter_cat,beliefs_post_cat,round,turn,demand,kept,partner,demand_partner,kept_partner,inspection,fine,finalpayment,NCbinary,NChours,NCpercentual,Exo,Endo,Endo2,EndoB,Endo_past,Endo_past2,Endo_pastB,Exo_accu,Exo_accu_tot,Endo_accu,Endo_accuB,Endo_accu_tot,Endo_accu_totB,Losses_accu,Inspection_past,Fine_past
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,1,1,13,12,17,11,12,1,0,9900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,2,1,14,14,19,11,12,0,0,9900,1,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,100,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,3,2,15,13,9,13,13,1,0,9500,1,1,0.333333333333333,3,1,1,1,0,0,0,1,3,0,0,1,1,100,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,4,1,12,11,12,12,12,0,0,9400,0,-1,-1,0,0,1,1,1,1,1,3,6,0,0,1,2,500,1,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,5,2,11,11,4,15,10,0,0,9400,0,-1,-1,-1,0,0,0,0,1,1,6,6,1,1,1,2,600,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,6,1,12,11,6,17,12,1,0,9300,0,-1,-1,0,0,0,0,0,0,0,6,5,1,2,1,2,600,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,7,2,17,13,7,19,12,0,0,8800,1,1,0.2,5,0,0,0,0,0,0,5,5,1,2,1,2,700,1,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,8,2,14,14,10,17,17,0,0,8100,1,2,1,2,5,5,1,0,0,0,5,10,1,2,6,3,1200,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,9,2,16,14,6,15,14,1,0,7500,1,2,0.5,4,2,2,1,5,5,1,10,12,1,2,8,4,1900,0,0
0,1,1,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,1,1,2,10,1,19,12,11,14,12,0,0,6800,0,0,0,7,0,2,1,2,2,1,12,16,6,3,8,5,2500,1,0
