WUA,student,session,file,treatment,player,age,age_cat,education_level,education_level_cat,woman,risk_av,risk_av_cat,beliefs_pre,beliefs_inter,beliefs_post,cause_autority,cause_injustice,cause_file,cause_necesity,cause_other_people,open_question,beliefs_pre_cat,beliefs_inter_cat,beliefs_post_cat
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,8j13uy81,23,1,3,1,0,3,1,3,3,5,2,2,4,3,5,"al ser una apuesta a ciegas de 50% de probabilidad de perder, o no, el sesgo preferencial de una persona es apostar a no perder, en lugar de perder poco. por distribución normal, infiero que es más probable que alguien ocupe más de 12 horas si le corresponde, en lugar de dejar horas para el vecino. Además, esto se sustenta a nuestra cultura de individualismo que creamos los chilenos.",1,1,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,qbz5im3n,21,1,4,2,1,2,2,0,2,5,4,4,5,4,4,"Preferir que les sobre agua, antes que les falte. ",1,1,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,0wdmc3rw,21,1,3,1,0,1,2,7,6,9,2,2,4,2,2,"Querian mas plata",3,2,3
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,ojwxubt6,22,1,4,2,0,2,2,2,7,4,4,4,4,4,4,"abaricia, ademas que las horas no fueron sumativas, por lo que, aunque se necesitaran 20 horas y ambos respetaramos las horas asignadas, ambos sufririamos perdidas, por lo que no podiamos salir ganando ambos, simplemente era quien perdiera menos que el otro.",1,3,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,oo76dx8j,20,1,3,1,0,2,2,2,3,4,2,3,3,1,3,"Necesidad de esta",1,1,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,rz61maok,21,1,4,2,1,2,2,3,7,8,2,2,4,2,2,"Yo creo que los participantes sacaron más agua de las 12 horas asignadas ya que era lo que necesitaban, y las personas generalmente se enfocan más en las necesidades propias que en las de los demás. También porque no les importa que las demás personas que necesitan regar una cantidad de horas no la cumplan, si es que ""les puede tocas después, y yo ahí no voy a regar"".",1,3,3
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,vg9szqte,21,1,2,1,1,4,1,2,7,6,2,3,4,1,4,"Necesitaban más horas, pensaban que tendrían el primer turno",1,3,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,f6p4nnma,23,1,3,1,0,3,1,6,2,8,3,2,4,2,4,"las horas asignadas no son suficientes para cubrir la cuota o sus necesidades.",2,1,3
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,u85452r1,26,1,4,2,1,3,1,2,7,2,5,3,2,3,2,"No perder el incentivo monetario del estudio.",1,3,1
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,8sv0q9hr,26,1,4,2,0,3,1,3,4,5,5,4,5,2,4,"necesitaba mas horas para cumplir con el regadio",1,2,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,zfneq00t,26,1,4,2,0,4,1,5,3,4,5,5,5,5,5,"Avaricia mas que nada, en una situación donde hay un recurso escaso la solución no se encuentra acaparando los pocos recursos que quedan, sino que, compartiendo de forma equitativa. En este caso todos tendríamos la misma necesidad de agua pero eso no le da el derecho a poder sustraer los recursos, no es éticamente correcto . Es robarle a una persona que no conoces, puede que nadie sepa que le robaste, pero por dentro sabes que eres un ladrón",2,1,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,85bpfchc,21,1,3,1,1,2,2,1,4,4,4,2,4,2,4,"sacaron más de 12 horas porque era lo que su riego necesitaba, tal vez les tocaba la temporada de verano donde necesitaban más agua y además pensaban que iban a obtener el primer turno por ende no saldrían perjudicados ellos sino su vecino del segundo turno. ",1,2,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,ztsach6c,22,1,3,1,1,2,2,4,3,8,1,1,1,1,1,"por las necesidades que tenian",2,1,3
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,ig4wadjz,22,1,3,1,1,2,2,1,3,5,4,5,3,3,5,"Al fin y al cabo es una actividad en donde no sabes cuánto le tocó a la otra persona, entonces cada uno saca agua según a su juicio pero no encontré que la actividad fuese equitativa, era al azar y si no sabías de la otra persona, podrías beneficiar como perjudicar ",1,1,2
0,1,1,all_apps_wide-2024-05-28_SESION1.csv,0,atv1ny22,20,1,3,1,1,2,2,1,7,7,2,2,3,2,2,"Creo que era por la desconfianza a las otra personas y podían estar pensando que estaban siendo injusto con uno ",1,3,3
