sesion,tto,player,conoc_derechos,derecho,hectareas,edad,escolaridad,genero,risk_av,pre_beliefs_igual,pre_beliefs_menos,pre_beliefs_mas,inter_beliefs_igual,inter_beliefs_menos,inter_beliefs_mas,post_beliefs_igual,post_beliefs_menos,post_beliefs_mas,causa_autoridad,causa_injusticia,causa_multa,causa_necesidad,causa_otros,dif_beliefs_mas,ronda,turno,demanda,kept,deficit,vecino,demanda_vecino,kept_vecino,fiscalizacion,multa,ybinaria,yhoras,yporcentual,Exo,Exo_efectiva,End,Exo_ant,End_ant,Dt2_ant,Exo_acu,Exo_acu_tot,End_acu,End_acu_tot,Perd_acu,demanda_sumada,demanda_diferencia,multa_ronda_anterior
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,1,1,13,12,1,17,11,12,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,2,1,14,14,0,19,11,12,0,0,1,2,1,2,0,0,1,0,0,0,1,0,0,100,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,3,2,15,13,4,9,13,13,1,0,1,1,0.333333333333333,3,3,1,0,0,0,1,1,0,0,100,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,4,1,12,11,1,12,12,12,0,0,0,-1,-1,0,1,0,3,1,1,1,4,0,1,500,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,5,2,11,11,0,4,15,10,0,0,0,-1,-1,-1,-1,0,1,0,0,4,5,1,1,600,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,6,1,12,11,1,6,17,12,1,0,0,-1,-1,0,1,0,-1,0,1,5,4,1,1,600,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,7,2,17,13,5,7,19,12,0,0,1,1,0.2,5,5,0,1,0,0,4,5,1,1,700,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,8,2,14,14,7,10,17,17,0,0,1,2,1,2,2,5,5,0,1,5,10,1,1,1200,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,9,2,16,14,6,6,15,14,1,0,1,2,0.5,4,4,2,2,5,1,10,12,1,6,1900,NaN,NaN,0
1,0,8j13uy81,1,NaN,0,2002,3,0,3,3,4,3,3,4,3,3,2,5,2,2,4,3,5,2,10,1,19,12,7,11,14,12,0,0,0,0,0,7,7,0,4,2,1,12,16,6,8,2500,NaN,NaN,0
